PARTY_ID,TYPE,VOTES_PERCENT,UPDATE_STATUS,UPDATE_TIME
SK05,PARTY,1.9,FINAL,2024-06-10 09:01
SK06,PARTY,7.14,FINAL,2024-06-10 09:01
SK07,PARTY,3.88,FINAL,2024-06-10 09:01
SK08,PARTY,7.18,FINAL,2024-06-10 09:01
SK09,PARTY,12.53,FINAL,2024-06-10 09:01
SK10,PARTY,4.68,FINAL,2024-06-10 09:01
SK11,PARTY,1.98,FINAL,2024-06-10 09:01
SK12,PARTY,0.93,FINAL,2024-06-10 09:01
SK90,PARTY,1.81,FINAL,2024-06-10 09:01
BE08,PARTY,20.52,FINAL,2024-06-10 14:26
BE09,PARTY,10.06,FINAL,2024-06-10 14:26
BE10,PARTY,34.88,FINAL,2024-06-10 14:26
BE11,PARTY,14.28,FINAL,2024-06-10 14:26
BE12,PARTY,2.91,FINAL,2024-06-10 14:26
BE13,PARTY,15.38,FINAL,2024-06-10 14:26
BE91,PARTY,1.97,FINAL,2024-06-10 14:26
